Local	Código do Produto	Produto	Estoque (UN)	Pendência (UN)	Disponível (UN)	Lote	Lote Indústria	Data de Fabricação	Data de Vencimento	Data de Entrada	Data de Alocação	Estado	Setor	Tipo	Ordem de Recebimento	Adicionar (UN)	Tipo do Local	Qtde Separação Específica Não Roteirizado	Código Produto Depositante	Barra	Embalagem	Fator de Conversão	Estoque na Embalagem	Pendência na Embalagem	Id	Adicionar na Embalagem	Disponível na Embalagem	Barra do Lote	Embalagem do Lote	Fator do Lote	Estoque Fator Lote	Pendência Fator Lote	Adicionar Fator Lote	Disponível Fator Lote	Código do Depositante	Depositante	Buffer	Local Ativo	Lote Liberado	Período de Validade	Dias Vencidos	Maturação	Prazo de Validade	Prazo de Comercialização	Prazo Crítico	Tipo do Recebimento	Classificação	Nota Fiscal	Número NF Entrada	Data do Bloqueio	Motivo do Bloqueio	Usuário de Bloqueio	Data da Liberação	Motivo da Liberação	Usuário da Liberação	Motivo Avaria Conf. Entrada	Usuário que Avariou	Data da Avaria	Lote Adicional	Peso (Kg)	Região	Família	Marca	idProduto	idDepositante	Número Contrato	Entidade Pagadora	CNPJ	Inscrição Estadual	Data de fabricação truncada	Data de vencimento truncada	Barra LPN
1D7561	B2C-10	CX B2C 10	6240	0	6240	161559		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:30:06	11/06/2026 07:30:06	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-10	2000001303101	UN	1	6240	0	322290	0	6240	2000001303101	UN	1	6240	0	0	6240	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11841 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13031	20					01/06/2026	01/06/2030	
1D0761	B2C-08	CX B2C 08	810	0	810	161560				11/06/2026 07:30:12	11/06/2026 07:30:12	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-08	2000001303001	UN	1	810	0	322291	0	810	2000001303001	UN	1	810	0	0	810	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	NÃO COLETADO	0	NÃO CONTROLA	100	0	0				NF: 11842 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13030	20							
1D2751	B2C-08	CX B2C 08	810	0	810	161564		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:30:37	11/06/2026 07:30:37	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-08	2000001303001	UN	1	810	0	322295	0	810	2000001303001	UN	1	810	0	0	810	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11846 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13030	20					01/06/2026	01/06/2030	
1D2951	B2C-08	CX B2C 08	810	0	810	161565		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:30:43	11/06/2026 07:30:43	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-08	2000001303001	UN	1	810	0	322296	0	810	2000001303001	UN	1	810	0	0	810	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11847 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13030	20					01/06/2026	01/06/2030	
1D3131	B2C-08	CX B2C 08	630	0	630	161566		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:30:49	11/06/2026 07:30:49	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-08	2000001303001	UN	1	630	0	322297	0	630	2000001303001	UN	1	630	0	0	630	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11848 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13030	20					01/06/2026	01/06/2030	
1D5121	B2C-17	CX B2C 17	420	0	420	161520		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:25:59	11/06/2026 07:25:59	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-17	2000001303901	UN	1	420	0	322249	0	420	2000001303901	UN	1	420	0	0	420	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11802 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13039	20					01/06/2026	01/06/2030	
1D7731	B2C-15	CX B2C 15	420	0	420	161534		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:27:26	11/06/2026 07:27:26	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-15	2000001303601	UN	1	420	0	322263	0	420	2000001303601	UN	1	420	0	0	420	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11816 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13036	20					01/06/2026	01/06/2030	
1D1561	B2C-12	CX B2C 12	2700	0	2700	161539		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:27:59	11/06/2026 07:27:59	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-12	2000001302401	UN	1	2700	0	322268	0	2700	2000001302401	UN	1	2700	0	0	2700	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11821 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13024	20					01/06/2026	01/06/2030	
1D6361	B2C-11	CX B2C 11	3305	0	3305	161553		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:29:27	11/06/2026 07:29:27	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-11	2000001303201	UN	1	3305	0	322283	0	3305	2000001303201	UN	1	3305	0	0	3305	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11835 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13032	20					01/06/2026	01/06/2030	
1D0941	B2C-20	CX B2C 20	360	0	360	161486		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:22:22	11/06/2026 07:22:22	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-20	2000001304201	UN	1	360	0	322213	0	360	2000001304201	UN	1	360	0	0	360	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11768 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13042	20					01/06/2026	01/06/2030	
