CODIGO                         DESCRICAO                                            SALDO DISPONIVEL           EMPENHO             ARMAZEM           GRUP      ENDERECAR           SALDO TOTAL                                                                                                             
Y-PT30                         POTE 100TIMETROS 30 CAPSULAS -                       4                          0                   60                0450      4                   4                                                                                                                  
Y-REV                          REVISTA YBERA DIGITAL                                106896                     0                   60                0450      59                  106896                                                                                                             
Y-REV                          REVISTA YBERA DIGITAL                                22                         0                   62                0450      0                   22                                                                                                                 
Y-REV2                         REVISTA YBERA DIGITAL 2 EDICAO                       1                          0                   60                0450      1                   1                                                                                                                  
Y-TC643                        SHAMPOO ISOTONICO SULFATO FREE                       4                          0                   60                0450      0                   4                                                                                                                  
Y-TC644                        MASCARA TODA DE COCO 500G - TE                       4                          0                   60                0450      0                   4                                                                                                                  
Y-TC88                         SHAMPOO ISOTONICO SULFATO FREE                       1                          0                   62                0450      0                   1                                                                                                                  
Y-TC88                         SHAMPOO ISOTONICO SULFATO FREE                       756                        287                 60                0450      8                   1043                                                                                                               
Y-TC89                         MASCARA TODA DE COCO 1KG - TER                       1022                       109                 60                0450      9                   1131                                                                                                               
Y-TC89                         MASCARA TODA DE COCO 1KG - TER                       4                          0                   62                0450      0                   4                                                                                                                  
Y-TC89                         MASCARA TODA DE COCO 1KG - TER                       1                          0                   64                0450      0                   1                                                                                                                  
Y-TC90                         SORO DE COCO 500ML  - TERRA CO                       195                        19                  60                0450      1                   214                                                                                                                
Y-TC91                         LEAVE-IN VEGETAL 500ML - TERRA                       1                          0                   60                0450      0                   1                                                                                                                  
Y-TC92                         SHAMPOO COCO VERDE 300ML - TER                       1                          0                   60                0450      0                   1                                                                                                                  
Y-TC95                         AGUA DE COCO CAPILAR 300 ML -                        5                          0                   60                0450      2                   5                                                                                                                  
Y-TC97                         LEITE DE COCO CONTRA FRIZZ 300                       48                         41                  60                0450      1                   89                                                                                                                 
Y-TC98                         ELIXIR DE COCO 60ML - TERRA CO                       2305                       166                 60                0450      0                   2471                                                                                                               
Y-TCETIM                       TOUCA DE CETIM - FASHION GOLD                        689                        0                   60                0450      670                 689                                                                                                                
Y-TCETIM                       TOUCA DE CETIM - FASHION GOLD                        25                         0                   21                0450      25                  25                                                                                                                 
Y-YP010                        THERMIC GLOSS C360 90ML - YBER                       11                         0                   60                0450      0                   11                                                                                                                 
Y-YP010                        THERMIC GLOSS C360 90ML - YBER                       4                          0                   62                0450      0                   4                                                                                                                  
Y-YP010                        THERMIC GLOSS C360 90ML - YBER                       3                          0                   64                0450      0                   3                                                                                                                  
Y-YP10005                      SHAMPOO BOTULINICA ANTI AGE BI                       2                          0                   60                0450      0                   2                                                                                                                  
Y-YP1005                       KIT ESCOVAS PROFISSIONAIS FASH                       2                          0                   60                0450      0                   2                                                                                                                  
Y-YP1005                       KIT ESCOVAS PROFISSIONAIS FASH                       1                          0                   62                0450      0                   1                                                                                                                  
Y-YP1006                       SHAMPOO BOTULINICA ANTI AGE BI                       301                        9                   60                0450      0                   310                                                                                                                
Y-YP1008                       RECONSTRUTOR BOTULINICA INTELI                       1                          0                   60                0450      0                   1                                                                                                                  
Y-YP1009                       RECONSTRUTOR BOTULINICA INTELI                       298                        9                   60                0450      0                   307                                                                                                                
Y-YP1012                       ATIVO BOTULINICO BIOTOX 500G -                       253                        9                   60                0450      0                   262                                                                                                                
Y-YP1015                       MATIZADOR TERMOATIVADO COLOR C                       6                          0                   60                0450      0                   6                                                                                                                  
Y-YP1026                       SHAMPOO DETOX PURIFICANTE 250M                       4                          0                   60                0450      0                   4                                                                                                                  
Y-YP1027                       MASCARA DETOX PURIFICANTE 200G                       4                          0                   60                0450      0                   4                                                                                                                  
Y-YP1031                       DISCOVERY - MEMORIFIOS STEMCEL                       449                        1                   60                0450      0                   450                                                                                                                
Y-YP1032                       DISCOVERY - MEMORIFIOS STEMCEL                       259                        13                  60                0450      0                   272                                                                                                                
Y-YP1033                       DISCOVERY - SPRAY STEMCELL 150                       389                        5                   60                0450      0                   394                                                                                                                
Y-YP1035                       SERUM TRICOMPLEX DISCOVERY 90M                       6                          0                   60                0450      0                   6                                                                                                                  
Y-YP1035                       SERUM TRICOMPLEX DISCOVERY 90M                       1                          0                   62                0450      0                   1                                                                                                                  
Y-YP1036                       SELANTE POTENCIALIZADOR KERAFI                       548                        1                   60                0450      0                   549                                                                                                                
Y-YP1037                       SELANTE POTENCIALIZADOR KERAFI                       1                          0                   60                0450      0                   1                                                                                                                  
Y-YP1038                       ELIXIR DO CERRADO - SHAMPOO 1L                       23                         2                   60                0450      0                   25                                                                                                                 
Y-YP1040                       ELIXIR DO CERRADO - CONDICIONA                       40                         2                   60                0450      0                   42                                                                                                                 
Y-YP1040                       ELIXIR DO CERRADO - CONDICIONA                       1                          0                   62                0450      0                   1                                                                                                                  
Y-YP1042                       SHAMPOO ELIXIR DA FLORESTA ESS                       11                         0                   60                0450      0                   11                                                                                                                 
Y-YP1044                       CONDICIONADOR ELIXIR DA FLORES                       14                         0                   60                0450      1                   14                                                                                                                 
Y-YP1044                       CONDICIONADOR ELIXIR DA FLORES                       1                          0                   62                0450      0                   1                                                                                                                  
Y-YP1046                       ELIXIR DO PANTANAL - SHAMPOO 1                       1                          0                   62                0450      0                   1                                                                                                                  
Y-YP1046                       ELIXIR DO PANTANAL - SHAMPOO 1                       35                         2                   60                0450      0                   37                                                                                                                 
Y-YP1048                       ELIXIR DO PANTANAL - CONDICION                       48                         2                   60                0450      0                   50                                                                                                                 
Y-YP1048                       ELIXIR DO PANTANAL - CONDICION                       1                          0                   62                0450      0                   1                                                                                                                  
Y-YP1050                       SHAMPOO PRO-GENO GENOMA 500ML                        2                          0                   60                0450      0                   2                                                                                                                  
