CODIGO                         DESCRICAO                                            SALDO DISPONIVEL           EMPENHO             ARMAZEM           GRUP      ENDERECAR           SALDO TOTAL                                                                                                             
YBEB2C-02                      CAIXA 2                                              4300                       0                   60                0450      0                   4300                                                                                                               
YBEB2C-03                      CAIXA 3                                              7248                       0                   60                0450      4675                7248                                                                                                               
YBEB2C-04                      CAIXA 4                                              6833                       0                   60                0450      0                   6833                                                                                                               
YBEB2C-08                      CAIXA 8                                              400                        0                   60                0450      0                   400                                                                                                                
B2C-10                         CAIXA 10                                             3085                       0                   60                0450      0                   3085                                                                                                               
YBEB2C-11                      CAIXA 11                                             1200                       0                   60                0450      0                   1200                                                                                                               
YBEB2C-12                      CAIXA 12                                             13988                      0                   60                0450      9488                13988                                                                                                              
YBEB2C-13                      CAIXA 13                                             3275                       0                   60                0450      0                   3275                                                                                                               
YBEB2C-14                      CAIXA 14                                             7200                       0                   60                0450      0                   7200                                                                                                               
YBEB2C-15                      CAIXA 15                                             540                        0                   60                0450      0                   540                                                                                                                
YBEB2C-16                      CAIXA 16                                             18840                      0                   60                0450      8640                18840                                                                                                              
YBEB2C-17                      CAIXA 17                                             8580                       0                   60                0450      0                   8580                                                                                                               
YBEB2C-19                      CAIXA 19                                             3203                       0                   60                0450      0                   3203                                                                                                               
YBEB2C-22                      CAIXA 22                                             315                        0                   60                0450      0                   315                                                                                                                
B2C-AC2                        CAIXA AC2                                            15000                      0                   60                0450      0                   15000                                                                                                              
B2C-AC3                        CAIXA AC3                                            7075                       0                   60                0450      0                   7075                                                                                                               
HS161                          PRANCHA DE CABELO ALISADORA -                        18                         0                   60                0450      1                   18                                                                                                                 
HS161                          PRANCHA DE CABELO ALISADORA -                        10                         0                   62                0450      0                   10                                                                                                                 
KIT-INOV-NJIF                  LIVRO INOVE PARA SER UNICO E N                       55                         0                   60                0450      7                   55                                                                                                                 
KIT-INOV-NJIF                  LIVRO INOVE PARA SER UNICO E N                       1                          0                   62                0450      0                   1                                                                                                                  
SEC-127                        SECADOR 127V                                         35                         2                   60                0450      2                   37                                                                                                                 
SEC-127                        SECADOR 127V                                         1                          0                   62                0450      0                   1                                                                                                                  
SEC-127                        SECADOR 127V                                         1                          0                   64                0450      0                   1                                                                                                                  
SEC-220                        SECADOR 220V                                         1133                       5                   60                0450      0                   1138                                                                                                               
SEC-220                        SECADOR 220V                                         1                          0                   62                0450      0                   1                                                                                                                  
Y-1430700                      NECESSAIRE EMBORRACHADO CINZA                        1                          0                   60                0450      0                   1                                                                                                                  
Y-1802                         YBERA FASHION GOLD 100TIMETROS                       72359                      364                 60                0450      2                   72723                                                                                                              
Y-1802                         YBERA FASHION GOLD 100TIMETROS                       96                         0                   62                0450      0                   96                                                                                                                 
Y-5433                         CAMISA PERSONALIZADA BLACK NOV                       1                          0                   60                0450      1                   1                                                                                                                  
