CODIGO                         DESCRICAO                                            SALDO DISPONIVEL           EMPENHO             ARMAZEM           GRUP      ENDERECAR           SALDO TOTAL                                                                                                             
YBEB2C-02                      CAIXA 2                                              2200                       0                   60                0450      0                   2200                                                                                                               
YBEB2C-03                      CAIXA 3                                              6975                       0                   60                0450      4675                6975                                                                                                               
YBEB2C-08                      CAIXA 8                                              2595                       0                   60                0450      0                   2595                                                                                                               
B2C-10                         CAIXA 10                                             10880                      0                   60                0450      0                   10880                                                                                                              
YBEB2C-11                      CAIXA 11                                             1200                       0                   60                0450      0                   1200                                                                                                               
YBEB2C-12                      CAIXA 12                                             13988                      0                   60                0450      8199                13988                                                                                                              
YBEB2C-13                      CAIXA 13                                             1000                       0                   60                0450      0                   1000                                                                                                               
YBEB2C-14                      CAIXA 14                                             7200                       0                   60                0450      0                   7200                                                                                                               
YBEB2C-15                      CAIXA 15                                             540                        0                   60                0450      0                   540                                                                                                                
YBEB2C-16                      CAIXA 16                                             18840                      0                   60                0450      4065                18840                                                                                                              
YBEB2C-17                      CAIXA 17                                             2520                       0                   60                0450      0                   2520                                                                                                               
YBEB2C-18                      CAIXA 18                                             260                        0                   60                0450      0                   260                                                                                                                
YBEB2C-19                      CAIXA 19                                             3203                       0                   60                0450      0                   3203                                                                                                               
YBEB2C-21                      CAIXA 21                                             5052                       0                   60                0450      0                   5052                                                                                                               
YBEB2C-22                      CAIXA 22                                             315                        0                   60                0450      0                   315                                                                                                                
B2C-AC2                        CAIXA AC2                                            15000                      0                   60                0450      0                   15000                                                                                                              
B2C-AC3                        CAIXA AC3                                            7075                       0                   60                0450      0                   7075                                                                                                               
HS161                          PRANCHA DE CABELO ALISADORA -                        18                         0                   60                0450      1                   18                                                                                                                 
HS161                          PRANCHA DE CABELO ALISADORA -                        10                         0                   62                0450      0                   10                                                                                                                 
KIT-INOV-NJIF                  LIVRO INOVE PARA SER UNICO E N                       55                         0                   60                0450      7                   55                                                                                                                 
KIT-INOV-NJIF                  LIVRO INOVE PARA SER UNICO E N                       1                          0                   62                0450      0                   1                                                                                                                  
SEC-127                        SECADOR 127V                                         24                         6                   60                0450      2                   30                                                                                                                 
SEC-127                        SECADOR 127V                                         1                          0                   62                0450      0                   1                                                                                                                  
SEC-127                        SECADOR 127V                                         1                          0                   64                0450      0                   1                                                                                                                  
SEC-220                        SECADOR 220V                                         1122                       3                   60                0450      0                   1125                                                                                                               
SEC-220                        SECADOR 220V                                         1                          0                   62                0450      0                   1                                                                                                                  
Y-1430700                      NECESSAIRE EMBORRACHADO CINZA                        1                          0                   60                0450      0                   1                                                                                                                  
Y-1802                         YBERA FASHION GOLD 100TIMETROS                       69830                      1255                60                0450      2                   71085                                                                                                              
Y-1802                         YBERA FASHION GOLD 100TIMETROS                       96                         0                   62                0450      0                   96                                                                                                                 
Y-5433                         CAMISA PERSONALIZADA BLACK NOV                       1                          0                   60                0450      1                   1                                                                                                                  
Y-8506                         YBERA FASHION GOLD KIT 100TIME                       1632                       426                 60                0450      1                   2058                                                                                                               
Y-8506                         YBERA FASHION GOLD KIT 100TIME                       36                         0                   62                0450      0                   36                                                                                                                 
Y-AM-S                         CONTINENTE AMERICA DO SUL COM                        17                         0                   60                0450      0                   17                                                                                                                 
Y-BD101                        BLACK DIVA - BASE EMOLIENTE 50                       163                        12                  60                0450      0                   175                                                                                                                
Y-BD102                        BLACK DIVA - LIQUIDO PROPIONIC                       157                        12                  60                0450      0                   169                                                                                                                
Y-CONT-AFRICA                  CONTINENTE AFRICA COM CAIXA                          12                         0                   60                0450      0                   12                                                                                                                 
Y-CONT-ANT                     CONTINENTE ANTARTICA COM CAIXA                       17                         0                   60                0450      0                   17                                                                                                                 
Y-CONT-EUR                     CONTINENTE EUROPA COM CAIXA                          12                         0                   60                0450      0                   12                                                                                                                 
Y-CX10                         EMBALAGEM MODELO: CAIXA REVEST                       22                         2                   60                0450      0                   24                                                                                                                 
Y-CX10                         EMBALAGEM MODELO: CAIXA REVEST                       11                         0                   62                0450      0                   11                                                                                                                 
Y-CX100                        EMBALAGEM MODELO: CAIXA ESPECI                       14                         0                   60                0450      0                   14                                                                                                                 
Y-CX25                         EMBALAGEM MODELO: CAIXA REVEST                       18                         1                   60                0450      0                   19                                                                                                                 
Y-CX25                         EMBALAGEM MODELO: CAIXA REVEST                       1                          0                   62                0450      0                   1                                                                                                                  
Y-CX50                         EMBALAGEM MODELO: CAIXA REVEST                       12                         0                   60                0450      0                   12                                                                                                                 
